address,status,sub_status,free_email,did_you_mean,account,domain,domain_age_days,smtp_provider,mx_found,mx_record,firstname,lastname,gender,country,region,city,zipcode,processed_at
disposable@example.com,do_not_mail,disposable,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
invalid@example.com,invalid,mailbox_not_found,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.468
valid@example.com,valid,,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
toxic@example.com,do_not_mail,toxic,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
donotmail@example.com,do_not_mail,role_based,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
spamtrap@example.com,spamtrap,,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
abuse@example.com,abuse,,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
unknown@example.com,unknown,mail_server_temporary_error,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
catch_all@example.com,catch-all,,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
antispam_system@example.com,unknown,antispam_system,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
does_not_accept_mail@example.com,invalid,does_not_accept_mail,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.467
exception_occurred@example.com,unknown,exception_occurred,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
failed_smtp_connection@example.com,unknown,failed_smtp_connection,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
failed_syntax_check@example.com,invalid,failed_syntax_check,false,null,,,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
forcible_disconnect@example.com,unknown,forcible_disconnect,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
global_suppression@example.com,do_not_mail,global_suppression,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
greylisted@example.com,unknown,greylisted,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
leading_period_removed@example.com,valid,leading_period_removed,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
mail_server_did_not_respond@example.com,unknown,mail_server_did_not_respond,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
mail_server_temporary_error@example.com,unknown,mail_server_temporary_error,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
mailbox_quota_exceeded@example.com,invalid,mailbox_quota_exceeded,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
mailbox_not_found@example.com,invalid,mailbox_not_found,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
no_dns_entries@example.com,invalid,no_dns_entries,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
possible_trap@example.com,do_not_mail,possible_trap,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
possible_typo@example.com,invalid,possible_typo,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
role_based@example.com,do_not_mail,role_based,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
timeout_exceeded@example.com,unknown,timeout_exceeded,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
unroutable_ip_address@example.com,invalid,unroutable_ip_address,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.475
free_email@example.com,valid,,true,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.473
role_based_catch_all@example.com,do_not_mail,role_based_catch_all,false,null,null,null,9692,example,true,mx.example.com,zero,bounce,male,null,null,null,null,2021-09-14 22:36:09.476
